"","ABV","IBU"
"695",0.063,37
"697",0.075,33
"698",0.085,100
"701",0.048,25
"703",0.052,23
"704",0.07,70
"705",0.045,44
"706",0.05,16
"707",0.059,55
"708",0.056,46
"709",0.065,71
"710",0.058,46
"713",0.05,40
"714",0.052,16
"715",0.049,22
"716",0.063,76
"717",0.05,12
"719",0.096,85
"720",0.049,22
"721",0.044,45
"722",0.052,26
"723",0.054,27
"725",0.071,85
"726",0.074,12
"728",0.065,72
"738",0.066,100
"739",0.051,17
"740",0.043,12
"741",0.058,49
"742",0.061,64
"743",0.045,18
"745",0.078,74
"750",0.078,74
"752",0.049,25
"759",0.043,60
"760",0.062,80
"761",0.049,23
"762",0.07,61
"766",0.054,48
"772",0.05,32
"773",0.045,19
"774",0.067,70
"775",0.063,55
"776",0.07,80
"777",0.07,58
"778",0.05,20
"779",0.05,20
"780",0.05,20
"781",0.07,70
"782",0.075,53
"785",0.075,53
"790",0.082,80
"791",0.055,30
"793",0.055,45
"794",0.048,20
"796",0.08,80
"798",0.05,22
"800",0.08,72
"805",0.045,47
"806",0.075,75
"809",0.047,20
"811",0.05,27
"812",0.06,104
"815",0.071,60
"816",0.047,28
"818",0.07,70
"823",0.05,18
"824",0.069,65
"836",0.074,97
"838",0.047,19
"839",0.056,16
"840",0.046,17
"841",0.063,42
"842",0.085,50
"843",0.072,65
"844",0.047,42
"845",0.076,73
"846",0.057,40
"847",0.052,20
"851",0.064,90
"853",0.052,17
"854",0.06,21
"856",0.042,9
"857",0.067,47
"858",0.06,21
"861",0.05,28
"862",0.057,36
"863",0.07,70
"865",0.069,69
"866",0.055,18
"867",0.053,27
"868",0.065,33
"870",0.042,20
"872",0.042,10
"873",0.059,70
"874",0.044,5
"878",0.065,35
"879",0.065,45
"880",0.056,30
"881",0.065,80
"882",0.053,32
"883",0.07,24
"884",0.052,42
"885",0.07,73
"887",0.072,50
"888",0.049,15
"889",0.05,26
"890",0.067,70
"891",0.072,75
"892",0.058,35
"893",0.074,74
"894",0.08,70
"895",0.094,92
